Member Properties                                                                                                                                                                                                                                                                                                                                                  (kip-in units),,,,,,,,,,,,,,,,Load Case 1,,,,Load Case 1                                                Aggregate Deflection Joints,,,Load Case 2,,,,Load Case 2                                                Aggregate Deflection Joints,,,Load Case 3,,,,Load Case 3                                                Aggregate Deflection Joints,,,Load Case 4,,,,Load Case 4                                                Aggregate Deflection Joints,,,Load Case 5,,,,Load Case 5                                                Aggregate Deflection Joints,,,Load Case 6,,,,Load Case 6                                               Aggregate Deflection Joints,,,Nodal Supports                                                                                                                                                                                                                      (Yes = 1    No = 0),,,,,,,,,                     Available Shapes         ,,,,,,Group Shape Set,,
Member,Start X,Start Y,Start Z,End X,End Y,End Z,Layer,Group,E ,G,Fy,kby,kbz,key,kez,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,X,Y,Z,Rx,Ry,Rz,Mx,My,Mz,Section,Shape,D (in),t (in),wt (lb/ft),W (in),Group,From,To
54,0,146.5864,-5.6596,0,138.3107,-5.6596,Bottom Chord 04,4,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,Round Tubing,1,0.1875,1.625332412,,54,45,55
55,0,154.8621,-5.6596,0,146.5864,-5.6596,Bottom Chord 04,4,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,Round Tubing,1,0.25,2.000409122,,55,45,55
56,0,159,-5.6596,0,154.8621,-5.6596,Bottom Chord 04,4,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,Round Tubing,1.125,0.035,0.407016576,,56,45,55
57,32.75,63,-5.6596,32.75,67.1379,-5.6596,Bottom Chord 04,4,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,Round Tubing,1.125,0.049,0.562504376,,57,45,55
58,32.75,67.1379,-5.6596,32.75,75.4136,-5.6596,Bottom Chord 04,4,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,Round Tubing,1.125,0.058,0.660252368,,58,45,55
59,32.75,93.0574,-5.6596,32.75,97.1026,-5.6596,Bottom Chord 04,4,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,Round Tubing,1.125,0.065,0.735083672,,59,45,55
60,32.75,83.6893,-5.6596,32.75,93.0574,-5.6596,Bottom Chord 04,4,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,Round Tubing,1.125,0.095,1.043946841,,60,45,55
61,32.75,75.4136,-5.6596,32.75,83.6893,-5.6596,Bottom Chord 04,4,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,Round Tubing,1.125,0.12,1.286663147,,61,45,55
62,32.75,97.1026,-5.6596,32.75,102,-5.6596,Bottom Chord 04,4,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,Round Tubing,1.125,0.25,2.333810643,,,,
63,0,185.478,-5.6596,0,177.13,-5.6596,Bottom Chord 05,5,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,Round Tubing,1.25,0.035,0.453692789,,,,
