Member Properties                                                                                                                                                                                                                                                                                                                                                  (kip-in units),,,,,,,,,,,,,,,,Load Case 1,,,,Load Case 1                                                Aggregate Deflection Joints,,,Load Case 2,,,,Load Case 2                                                Aggregate Deflection Joints,,,Load Case 3,,,,Load Case 3                                                Aggregate Deflection Joints,,,Load Case 4,,,,Load Case 4                                                Aggregate Deflection Joints,,,Load Case 5,,,,Load Case 5                                                Aggregate Deflection Joints,,,Load Case 6,,,,Load Case 6                                               Aggregate Deflection Joints,,,Nodal Supports                                                                                                                                                                                                                      (Yes = 1    No = 0),,,,,,,,,                     Available Shapes         ,,,,,,Group Shape Set,,
Member,Start X,Start Y,Start Z,End X,End Y,End Z,Layer,Group,E ,G,Fy,kby,kbz,key,kez,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,X,Y,Z,Rx,Ry,Rz,Mx,My,Mz,Section,Shape,D (in),t (in),wt (lb/ft),W (in),Group,From,To
36,32.75,95.5,-5.6596,32.75,95.8861,-5.6596,Bottom Chord 04,4,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,128,0,0,-0.0125,,,,,,,,,,,130,0,0,-0.0125,,,,,,,,,,,,,,,,,,,,36,Round Tubing,0.875,0.035,0.31366415,0,36,44,54
37,32.75,92.6645,-5.6596,32.75,95.5,-5.6596,Bottom Chord 04,4,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,129,0,0,-0.0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,Round Tubing,0.875,0.049,0.43181098,0,37,44,54
38,32.75,63,-5.6596,32.75,69.5,-5.6596,Bottom Chord 04,4,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,130,0,0,-0.0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,Round Tubing,0.875,0.058,0.505554062,0,38,44,94
39,0,126.1139,-5.6596,0,120,-5.6596,Bottom Chord 04,4,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,Round Tubing,0.875,0.065,0.561714882,0,39,44,94
40,0,126.5,-5.6596,0,126.1139,-5.6596,Bottom Chord 04,4,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,Round Tubing,0.875,0.083,0.701327435,0,40,44,54
41,0,152.5,-5.6596,0,139.5,-5.6596,Bottom Chord 04,4,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,Round Tubing,0.875,0.095,0.790561685,0,41,1,1
42,0,159,-5.6596,0,152.5,-5.6596,Bottom Chord 04,4,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,Round Tubing,0.875,0.12,0.966597688,0,42,44,54
43,0,129.3355,-5.6596,0,126.5,-5.6596,Bottom Chord 04,4,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,Round Tubing,0.875,0.1875,1.375281271,0,43,44,54
44,0,135.3493,-5.6596,0,129.3355,-5.6596,Bottom Chord 04,4,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,Round Tubing,1,0.028,0.290363385,0,44,44,54
45,0,139.5,-5.6596,0,135.3493,-5.6596,Bottom Chord 04,4,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,Round Tubing,1,0.035,0.360340363,0,45,44,54
46,0,191.5,-5.6596,0,178.5,-5.6596,Bottom Chord 05,5,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,Round Tubing,1,0.049,0.497157678,0,46,3,43
47,0,198,-5.6596,0,191.5,-5.6596,Bottom Chord 05,5,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,Round Tubing,1,0.058,0.582903215,0,47,3,43
48,0,165.5,-5.6596,0,159,-5.6596,Bottom Chord 05,5,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,Round Tubing,1,0.065,0.648399277,0,48,86,92
49,0,172.5052,-5.6596,0,165.5,-5.6596,Bottom Chord 05,5,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,Round Tubing,1,0.083,0.81201674,0,49,86,92
50,0,178.5,-5.6596,0,172.5052,-5.6596,Bottom Chord 05,5,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Round Tubing,1,0.095,0.917254263,0,50,86,92
51,32.75,56.5,-5.6596,32.75,63,-5.6596,Bottom Chord 05,5,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,Round Tubing,1,0.12,1.126630418,0,51,16,54
52,32.75,49.4948,-5.6596,32.75,56.5,-5.6596,Bottom Chord 05,5,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,Round Tubing,1,0.156,1.404703289,0,52,16,54
53,32.75,43.5,-5.6596,32.75,49.4948,-5.6596,Bottom Chord 05,5,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,Round Tubing,1,0.1875,1.625332412,0,53,16,54
54,32.75,30.5,-5.6596,32.75,43.5,-5.6596,Bottom Chord 05,5,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,Round Tubing,1,0.25,2.000409122,0,54,16,54
55,32.75,24,-5.6596,32.75,30.5,-5.6596,Bottom Chord 05,5,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,Round Tubing,1.125,0.035,0.407016576,0,55,44,54
56,0,204.5,-5.6596,0,198,-5.6596,Bottom Chord 06,6,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,Round Tubing,1.125,0.049,0.562504376,0,56,44,54
57,0,217.5,-5.6596,0,204.5,-5.6596,Bottom Chord 06,6,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,Round Tubing,1.125,0.058,0.660252368,0,57,3,43
